Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Dominican Republic,DOM,138.29624939,143.32540894,152.86595154,104.59856415,105.12216187,168.85827637,161.94844055,190.14048767,229.29747009,237.11128235,270.03961182,293.95123291,304.23754883,302.28512573,312.44223022,322.04864502,328.36526489,336.98895264,327.39859009,346.12109375,353.79364014,416.68310547,462.26287842,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ecuador,ECU,48.11405182,71.16015625,97.25205231,132.01766968,149.75236511,167.79144287,189.59565735,193.33273315,231.62229919,244.5753479,287.00466919,340.40786743,387.54577637,414.12683105,433.41845703,464.22186279,449.03869629,469.04544067,493.73196411,484.47195435,473.01956177,498.60794067,492.83575439,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,"Egypt, Arab Rep.",EGY,69.37174988,68.67334747,63.99928665,50.34780884,50.33084488,59.4683876,66.32707214,73.29454041,90.15769958,98.90396881,105.07817841,116.22949219,139.81625366,139.67245483,155.06480408,170.25532532,142.61845398,106.00288391,118.01481628,142.69670105,148.35269165,176.93664551,170.97909546,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,El Salvador,SLV,155.52601624,162.30456543,166.81164551,171.59013367,185.83404541,225.17417908,231.73410034,239.99687195,253.45413208,257.19317627,270.69418335,295.64242554,301.03710938,324.28027344,315.23168945,331.96725464,339.97875977,338.60742188,348.18817139,380.53384399,357.78799438,470.14025879,501.24411011,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Equatorial Guinea,GNQ,18.24036026,26.85599136,71.37155151,81.2088623,96.12361145,112.03458405,131.67703247,164.4467926,203.97105408,234.87966919,222.45153809,245.80303955,262.1546936,267.67111206,272.72619629,212.26531982,213.11793518,214.52722168,231.10166931,215.54243469,230.32144165,236.81486511,190.09381104,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eritrea,ERI,14.03034782,14.90675831,15.77544498,19.81480217,23.15624809,21.92651939,23.77408791,19.62666321,21.55065727,24.35102463,26.00652122,35.55129623,27.78689003,31.63773346,32.93447495,29.22208977,26.00592422,25.10270691,26.68201065,28.42930794,27.66241646,27.58759499,27.08350372,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Estonia,EST,209.97769165,214.70417786,250.48020935,368.97955322,474.50796509,549.63024902,627.18377686,866.49945068,1082.15478516,1006.50708008,966.19024658,1061.1628418,1058.71960449,1194.86206055,1287.76123047,1156.20275879,1226.0859375,1350.12646484,1553.43347168,1599.3503418,1789.03417969,2091.15649414,1998.88549805,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Eswatini,SWZ,76.93126678,75.41345978,74.66481781,131.40959167,175.89544678,217.26066589,237.50752258,252.24301147,265.72091675,279.68212891,343.04284668,365.25265503,340.03012085,303.40438843,282.43395996,250.71520996,226.41770935,265.50152588,292.33929443,320.05084229,236.25013733,296.82846069,283.88345337,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Ethiopia,ETH,5.28970861,5.50955105,5.14964151,5.70984173,5.7385993,6.4820013,8.42413712,11.63210678,13.03863621,15.1445961,16.17102051,14.62286568,20.00217628,19.26698494,21.6064415,23.21817207,24.34373283,24.18239403,23.5205574,25.93511963,28.28001595,26.06936646,27.0685215,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Fiji,FJI,74.28569794,61.49855804,69.40512085,86.09690094,110.06819153,120.21074677,126.38617706,140.30192566,134.50354004,121.05646515,127.65603638,140.93704224,153.56562805,158.51806641,178.31169128,169.47518921,175.91635132,185.69645691,249.86022949,254.83047485,256.25967407,331.58413696,217.15068054,212.88697815,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Finland,FIN,1726.74438477,1810.40380859,2059.3269043,2613.84570313,3044.12109375,3236.85839844,3414.94140625,3918.64453125,4486.33789063,4349.89501953,4251.52880859,4717.5078125,4573.19726563,4892.03369141,4922.4296875,4128.20751953,4108.73974609,4235.75488281,4521.27636719,4459.9296875,4736.21435547,5261.90966797,4902.0390625,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,France,FRA,2161.85302734,2192.71557617,2449.75830078,3006.3059082,3458.62744141,3575.02514648,3811.55175781,4312.31054688,4807.37451172,4737.578125,4592.38330078,4931.87792969,4644.59570313,4884.71582031,4974.74658203,4198.72900391,4264.14599609,4416.79199219,4667.95751953,4508.76074219,4747.51367188,5376.74560547,4865.17822266,..,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
