Country / Region,Disease,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Cyprus,Measles,28,0,0,1,1,6,15,3,0,0,10,0,1,0,18,0,1,0,0,1,0,0,0,,0
Czechia,Measles,35,1,0,0,4,590,207,142,7,9,222,15,22,17,0,5,2,2,7,0,17,30,4,6,9
Côte d'Ivoire,Measles,"1,872","1,361","1,596","1,837",600,372,453,163,45,65,50,48,137,628,441,183,12,5,11,115,"3,466","4,770","5,882","5,790","5,729"
Democratic People's Republic of Korea,Measles,0,0,0,,0,,0,0,0,0,3,0,0,0,0,0,8,"3,550",0,0,0,0,0,0,
Democratic Republic of the Congo,Measles,"109,419","311,500","4,380","54,471","82,290","333,017","69,693","45,107","5,092","5,020","33,711","88,381","72,029","133,802","5,407",57,"12,461","55,577","80,123","182,485","44,934","21,956","30,466","8,072","8,282"
Denmark,Measles,25,9,0,0,4,15,8,4,3,9,27,17,2,84,5,6,14,2,27,2,0,0,32,11,14
Djibouti,Measles,60,446,206,0,,,28,3,8,47,,28,709,49,7,48,143,24,49,298,71,37,50,79,183
Dominica,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,113,253
Ecuador,Measles,0,0,0,0,0,0,19,0,1,0,0,0,72,257,0,0,1,0,0,0,0,0,0,2,0
Egypt,Measles,91,267,14,0,3,0,48,24,225,"5,432","1,314",405,245,26,16,608,668,"1,684",953,77,80,164,653,"2,150","2,633"
El Salvador,Measles,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Equatorial Guinea,Measles,463,270,49,43,53,0,0,1,"1,699","1,250",13,321,"1,190",0,0,78,436,5,0,,38,18,24,"1,339",
Eritrea,Measles,10,54,28,25,12,6,70,"1,199",142,198,127,45,194,48,51,82,0,55,128,19,24,376,460,204,789
Estonia,Measles,4,4,0,0,0,27,10,1,2,4,0,2,4,7,0,0,0,1,27,2,0,0,0,0,9
Eswatini,Measles,0,3,64,0,0,0,0,0,1,0,0,0,0,0,313,26,1,0,0,0,0,350,37,49,10
Ethiopia,Measles,"31,044","24,038","9,292","1,953","1,952","3,998","1,752","1,921","4,579","17,745","12,739","5,253","4,347","3,255","4,235","1,176","3,511","1,446","1,451",357,73,228,"3,332","2,366","1,660"
Fiji,Measles,,,,,,28,0,,5,,,,0,,0,1,0,0,136,,37,305,304,17,
Finland,Measles,2,1,0,3,4,12,15,11,4,2,,2,,27,5,2,5,0,0,1,0,0,0,1,
France,Measles,483,117,15,16,240,"2,637","2,921",519,79,157,267,272,,"14,949","5,048","1,541",604,39,40,36,"4,448",,"5,185",,"10,000"
French Polynesia,Measles,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,,,,,3,
Gabon,Measles,32,"1,167","1,293",134,9,2,1,"1,075","1,509",27,33,122,2,2,1,0,3,0,90,0,63,,110,"5,129",15
Gambia,Measles,8,38,58,0,,1,4,1,45,71,1,0,0,0,2,0,0,0,0,0,0,119,32,99,336
Georgia,Measles,350,39,12,5,20,"3,918","2,199",94,14,431,"3,188","7,872",31,64,22,23,56,44,334,"1,356","6,847",216,199,35,50
Germany,Measles,645,79,15,10,76,514,543,929,326,"2,464",443,"1,771",166,"1,607",780,574,917,567,"2,307",778,121,779,"4,657","6,024",
Ghana,Measles,"1,944","2,282",395,52,88,"1,274",34,19,32,23,124,319,"1,613",120,641,101,82,6,420,435,60,"1,939","12,289","13,476","23,068"
Greece,Measles,38,0,0,0,3,45,"2,291",968,0,1,1,3,3,40,149,2,1,2,,122,1,,5,12,56
Grenada,Measles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,Measles,0,0,,,,0,0,0,0,0,,0,0,1,0,0,0,0,,0,2,7,,0,0
Guatemala,Measles,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,Measles,577,94,417,505,506,"4,555",482,"2,036",316,243,175,53,6,11,45,264,89,3,4,99,10,"2,497","2,151","7,408","11,294"
Guinea-Bissau,Measles,0,5,213,,22,60,28,11,0,153,1,0,0,0,26,0,12,1,0,0,"3,526","1,158",298,126,
Guyana,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,Measles,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,992
Honduras,Measles,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Measles,18,1,0,0,0,23,14,36,0,0,0,1,2,5,0,1,0,0,1,2,0,0,0,20,1
